event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
3162,M,2007,252.10398230088495,15212.906685095119,-1.4444624507003634,Whidbey Island
3162,M,2008,253.62899224806202,15212.906685095119,0.08054749647671997,Whidbey Island
3162,M,2009,250.16175869120656,15212.906685095119,-3.386686060378755,Whidbey Island
3162,M,2010,244.83146853146854,15212.906685095119,-8.716976220116765,Whidbey Island
3162,M,2011,263.63764367816094,15212.906685095119,10.089198926575621,Whidbey Island
3162,M,2012,252.60474254742547,15212.906685095119,-0.9437022041598235,Whidbey Island
3162,M,2013,250.24689265536725,15212.906685095119,-3.3015520962180744,Whidbey Island
3162,M,2014,253.6970297029703,15212.906685095119,0.1485849513849947,Whidbey Island
3162,M,2015,259.60125448028674,15212.906685095119,6.052809728701444,Whidbey Island
3162,M,2016,252.4517441860465,15212.906685095119,-1.096700565538807,Whidbey Island
3162,M,2017,262.78769841269843,15212.906685095119,9.239253661113102,Whidbey Island
3162,M,2018,259.04285714285714,15212.906685095119,5.494412391271847,Whidbey Island
3171,F,1998,253.5257849031396,15997.481336794119,-13.098904043429048,Vermont City
3171,F,1999,271.5412424242424,15997.481336794119,4.916553477673763,Vermont City
3171,F,2000,260.1020080321285,15997.481336794119,-6.522680914440146,Vermont City
3171,F,2001,267.44150985663083,15997.481336794119,0.8168209100621728,Vermont City
3171,F,2002,267.3334471766849,15997.481336794119,0.7087582301162304,Vermont City
3171,F,2003,266.42663622526635,15997.481336794119,-0.19805272130227725,Vermont City
3171,F,2004,266.0073659921903,15997.481336794119,-0.6173229543783842,Vermont City
3171,F,2006,276.6356525911708,15997.481336794119,10.01096364460218,Vermont City
3171,F,2009,266.11910652920966,15997.481336794119,-0.505582417359013,Vermont City
3171,F,2010,270.0541252759382,15997.481336794119,3.429436329369552,Vermont City
3171,F,2011,274.73110893032384,15997.481336794119,8.106419983755192,Vermont City
3171,F,2012,269.4079409048938,15997.481336794119,2.7832519583251574,Vermont City
3171,F,2013,265.2958608360836,15997.481336794119,-1.3288281104850284,Vermont City
3171,F,2014,267.38046077573637,15997.481336794119,0.7557718291677096,Vermont City
3171,F,2015,268.72482238010656,15997.481336794119,2.10013343353794,Vermont City
3171,F,2016,239.25917874396137,15997.481336794119,-27.36551020260728,Vermont City
3171,F,2017,272.4073188405797,15997.481336794119,5.782629894011067,Vermont City
3171,F,2018,269.7053631284916,15997.481336794119,3.0806741819229804,Vermont City
3171,F,2019,273.7701564380265,15997.481336794119,7.145467491457839,Vermont City
3171,M,1998,228.69300199942873,14615.114905124978,-14.892246419320903,Vermont City
3171,M,1999,246.21685878962535,14615.114905124978,2.6316103708757206,Vermont City
