,year,gender,lat,lon,event,region,state,postal,freq,event_name
122,2018,M,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,113,Ann Arbor
123,2018,M,47.6062095,-122.3320708,11074,West,Washington,WA,920,Seattle
124,2019,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,13,Walter Childs Memorial Race Of Champions
125,2019,F,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,116,Ann Arbor
126,2019,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,394,Buffalo
127,2019,F,47.6062095,-122.3320708,11074,West,Washington,WA,546,Seattle
128,2019,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,18,Walter Childs Memorial Race Of Champions
129,2019,M,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,183,Ann Arbor
130,2019,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,637,Buffalo
131,2019,M,47.6062095,-122.3320708,11074,West,Washington,WA,1180,Seattle
132,1998,F,34.0522342,-118.2436849,1264,West,California,CA,3599,La
133,1998,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,42,Erie
134,1998,M,34.0522342,-118.2436849,1264,West,California,CA,9085,La
135,1998,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,189,Erie
136,1999,F,61.2180556,-149.9002778,123522,West,Alaska,AK,1568,Anchorage
137,1999,M,61.2180556,-149.9002778,123522,West,Alaska,AK,1056,Anchorage
138,2000,F,33.6594835,-117.9988026,1224,West,California,CA,197,Surf City
139,2000,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,23,Erie
140,2000,F,61.2180556,-149.9002778,123522,West,Alaska,AK,1144,Anchorage
141,2000,M,33.6594835,-117.9988026,1224,West,California,CA,392,Surf City
142,2000,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,158,Erie
143,2000,M,61.2180556,-149.9002778,123522,West,Alaska,AK,765,Anchorage
144,2001,F,33.6594835,-117.9988026,1224,West,California,CA,111,Surf City
145,2001,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,36,Erie
146,2001,F,61.2180556,-149.9002778,123522,West,Alaska,AK,1066,Anchorage
147,2001,M,33.6594835,-117.9988026,1224,West,California,CA,305,Surf City
148,2001,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,173,Erie
149,2001,M,61.2180556,-149.9002778,123522,West,Alaska,AK,840,Anchorage
150,2002,F,33.6594835,-117.9988026,1224,West,California,CA,175,Surf City
151,2002,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,44,Erie
152,2002,F,61.2180556,-149.9002778,123522,West,Alaska,AK,813,Anchorage
153,2002,M,33.6594835,-117.9988026,1224,West,California,CA,444,Surf City
154,2002,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,151,Erie
155,2002,M,61.2180556,-149.9002778,123522,West,Alaska,AK,690,Anchorage
156,2003,F,33.6594835,-117.9988026,1224,West,California,CA,191,Surf City
157,2003,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,83,Erie
158,2003,M,33.6594835,-117.9988026,1224,West,California,CA,443,Surf City
159,2003,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,229,Erie
160,2004,F,33.6594835,-117.9988026,1224,West,California,CA,242,Surf City
161,2004,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,99,Erie
162,2004,F,61.2180556,-149.9002778,123522,West,Alaska,AK,788,Anchorage
163,2004,M,33.6594835,-117.9988026,1224,West,California,CA,510,Surf City
164,2004,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,231,Erie
165,2004,M,61.2180556,-149.9002778,123522,West,Alaska,AK,598,Anchorage
166,2005,F,33.6594835,-117.9988026,1224,West,California,CA,220,Surf City
167,2005,F,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,88,Erie
168,2005,F,61.2180556,-149.9002778,123522,West,Alaska,AK,699,Anchorage
169,2005,M,33.6594835,-117.9988026,1224,West,California,CA,464,Surf City
170,2005,M,42.12922409999999,-80.085059,12554,Northeast,Pennsylvania,PA,239,Erie
171,2005,M,61.2180556,-149.9002778,123522,West,Alaska,AK,656,Anchorage
