prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[18045.0, 19425.0)",-188.43809591084516,34956,2003,F,5.204166666666667,-162.89489769149625,-25.54319821934891,Grandmas
"[18045.0, 19425.0)",-153.14763709643884,34956,2004,F,5.204166666666667,-162.89489769149625,9.747260595057412,Grandmas
"[18045.0, 19425.0)",-155.54829183116894,34956,2005,F,5.204166666666667,-162.89489769149625,7.346605860327315,Grandmas
"[18045.0, 19425.0)",-110.45470241879241,34956,2006,F,5.204166666666667,-162.89489769149625,52.440195272703846,Grandmas
"[18045.0, 19425.0)",-144.81697648379782,34956,2007,F,5.204166666666667,-162.89489769149625,18.077921207698438,Grandmas
"[18045.0, 19425.0)",-142.13856809311608,34956,2009,F,5.204166666666667,-162.89489769149625,20.756329598380177,Grandmas
"[18045.0, 19425.0)",-127.47418752141432,34956,2010,F,5.204166666666667,-162.89489769149625,35.42071017008193,Grandmas
"[18045.0, 19425.0)",-161.78237058103744,34956,2011,F,5.204166666666667,-162.89489769149625,1.1125271104588137,Grandmas
"[18045.0, 19425.0)",-157.95211513961075,34956,2012,F,5.204166666666667,-162.89489769149625,4.9427825518855,Grandmas
"[18045.0, 19425.0)",-171.0955436812759,34956,2013,F,5.204166666666667,-162.89489769149625,-8.200645989779645,Grandmas
"[18045.0, 19425.0)",-167.39764335716717,34956,2014,F,5.204166666666667,-162.89489769149625,-4.502745665670915,Grandmas
"[18045.0, 19425.0)",-194.14358686603924,34956,2015,F,5.204166666666667,-162.89489769149625,-31.24868917454299,Grandmas
"[18045.0, 19425.0)",-122.53121203609314,34956,2016,F,5.204166666666667,-162.89489769149625,40.36368565540312,Grandmas
"[18045.0, 19425.0)",-134.44840910598757,34956,2017,F,5.204166666666667,-162.89489769149625,28.44648858550869,Grandmas
"[18045.0, 19425.0)",-154.28231633521165,34956,2018,F,5.204166666666667,-162.89489769149625,8.612581356284608,Grandmas
