prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[9465.0, 9525.0)",69.31471805599453,4476,2014,M,2.6375,29.234195879858834,40.0805221761357,Houston
"[9465.0, 9525.0)",-69.31471805599453,4476,2015,M,2.6375,29.234195879858834,-98.54891393585336,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,2016,M,2.6375,29.234195879858834,40.0805221761357,Houston
"[9465.0, 9525.0)",28.768207245178086,4476,2017,M,2.6375,29.234195879858834,-0.46598863468074825,Houston
"[9465.0, 9525.0)",-69.31471805599453,4476,2018,M,2.6375,29.234195879858834,-98.54891393585336,Houston
"[9465.0, 9525.0)",84.72978603872036,96107,1997,M,2.6375,2.7594277506312808,81.97035828808909,Chicago
"[9465.0, 9525.0)",18.232155679395458,96107,1999,M,2.6375,2.7594277506312808,15.472727928764177,Chicago
"[9465.0, 9525.0)",-31.84537311185346,96107,2002,M,2.6375,2.7594277506312808,-34.60480086248474,Chicago
"[9465.0, 9525.0)",-22.31435513142097,96107,2003,M,2.6375,2.7594277506312808,-25.073782882052253,Chicago
"[9465.0, 9525.0)",-84.72978603872036,96107,2005,M,2.6375,2.7594277506312808,-87.48921378935164,Chicago
"[9465.0, 9525.0)",-69.31471805599453,96107,2006,M,2.6375,2.7594277506312808,-72.07414580662581,Chicago
"[9465.0, 9525.0)",-22.31435513142097,96107,2008,M,2.6375,2.7594277506312808,-25.073782882052253,Chicago
"[9465.0, 9525.0)",13.353139262452258,96107,2009,M,2.6375,2.7594277506312808,10.593711511820977,Chicago
"[9465.0, 9525.0)",33.64722366212129,96107,2010,M,2.6375,2.7594277506312808,30.88779591149001,Chicago
"[9465.0, 9525.0)",77.31898882334816,96107,2011,M,2.6375,2.7594277506312808,74.55956107271689,Chicago
"[9465.0, 9525.0)",25.131442828090616,96107,2015,M,2.6375,2.7594277506312808,22.372015077459334,Chicago
"[9465.0, 9525.0)",51.08256237659907,96107,2016,M,2.6375,2.7594277506312808,48.32313462596779,Chicago
"[9465.0, 9525.0)",-18.232155679395458,96107,2017,M,2.6375,2.7594277506312808,-20.99158343002674,Chicago
"[9465.0, 9525.0)",40.546510810816436,96107,2018,M,2.6375,2.7594277506312808,37.787083060185154,Chicago
"[9465.0, 9525.0)",-53.89965007326869,96107,2019,M,2.6375,2.7594277506312808,-56.65907782389997,Chicago
"[9465.0, 9525.0)",69.31471805599453,96107,1998,F,2.6375,36.17670533461356,33.138012721380974,Chicago
"[9465.0, 9525.0)",69.31471805599453,96107,2000,F,2.6375,36.17670533461356,33.138012721380974,Chicago
"[9465.0, 9525.0)",69.31471805599453,96107,2005,F,2.6375,36.17670533461356,33.138012721380974,Chicago
"[9465.0, 9525.0)",69.31471805599453,96107,2006,F,2.6375,36.17670533461356,33.138012721380974,Chicago
"[9465.0, 9525.0)",69.31471805599453,96107,2008,F,2.6375,36.17670533461356,33.138012721380974,Chicago
"[9465.0, 9525.0)",-160.94379124341003,96107,2010,F,2.6375,36.17670533461356,-197.1204965780236,Chicago
"[9465.0, 9525.0)",-69.31471805599453,96107,2011,F,2.6375,36.17670533461356,-105.49142339060809,Chicago
"[9465.0, 9525.0)",69.31471805599453,96107,2015,F,2.6375,36.17670533461356,33.138012721380974,Chicago
